fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2025-02-13,2024,7,8,vid,SYRAH,71682054,11414225,BODEGA,BRIX,FINCA,ERASO,450.0,18.44444444,14640.0,6340.0,8300.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=8
2025-02-13,2024,7,FLAME,vid,FLAME,71682055,0,PASAS,PASERO,TORCUATO,TORCUATO,22.0,376.9090909,16300.0,8008,8292,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-14,2024,7,6,vid,RED GLOBE,71682058,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,435.0,5.0,,,2175,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-14,2024,7,FLAME,vid,FLAME,71682059,0,PASAS,PASERO,CAUCETE,ZARATE D,543.0,16.0,,,8688,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-14,2024,7,6,vid,RED GLOBE,71682061,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,358.0,5.0,,,1790,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-14,2024,7,SY RG,vid,SYRAH,71682056,11414226,BODEGA,BRIX,LUIS F,VILLEGAS,500.0,18.84,15420.0,6000.0,9420,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SY RG
2025-02-14,2024,7,8,vid,SYRAH,71682057,11414227,BODEGA,CAVAS,FINCA,DIAZ M,371.0,18.05929919,11440.0,4740.0,6700,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=8
2025-02-14,2024,7,FLAME,vid,FLAME,71682060,0,PASAS,PASERO,TORCUATO,TORCUATO,17.0,356.4705882,14140.0,8080,6060,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-15,2024,7,6,vid,RED GLOBE,71682062,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,237.0,5.0,,,1185,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-15,2024,7,6,vid,RED GLOBE,71682062,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,317.0,8.0,,,2536,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-17,2024,8,6,vid,RED GLOBE,71682064,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,355.0,8.0,,,2840,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-17,2024,8,8,vid,SYRAH,71682063,11414228,BODEGA,BRIX,FINCA,ZARATE D,,,,,10060.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=8
2025-02-17,2024,8,FLAME,vid,FLAME,71682065,0,PASAS,PASERO,TORCUATO,TORCUATO,24.0,378.3333333,17160.0,8080.0,9080.0,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-18,2024,8,6,vid,RED GLOBE,71682068,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,452.0,8.0,,,3616,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-18,2024,8,6,vid,RED GLOBE,71682069,0,MI,PUTRUELE,CAMARGO,CAMARGO,707.0,9.0,,,6363,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-18,2024,8,SY RG,vid,SYRAH,71682066,11414229,BODEGA,CAVAS,FINCA-LUIS F,ZARATE D,,,32500.0,13700.0,10000.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SY RG
2025-02-18,2024,8,SY RG,vid,SYRAH,71682067,11414229,BODEGA,CAVAS,FINCA-LUIS F,ZARATE D,,,,,8800.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SY RG
2025-02-18,2024,8,FLAME,vid,FLAME,71682070,0,PASAS,PASERO,TORCUATO,TORCUATO,24.0,381.6666667,17200.0,8040.0,9160,Migración Excel · ORIGEN=TERCEROS · FINCA=TORCUATO · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-19,2024,8,6,vid,RED GLOBE,71682072,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,300.0,8.0,,,2400,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-19,2024,8,6,vid,RED GLOBE,71682073,0,EXPO,CARRASCOSA,CARRASCOSA,CARRASCOSA,327.0,8.0,,,2616,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
